,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
447,Abelia,Abelia,Shrub,"Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","Spring, Summer, Fall","Pink, Yellow, White",Asia,,Caprifoliaceae
881,,Acer carpinifolium,Deciduous tree,"Full, partial",Moist but well-drained,Acidic to mildly alkaline (5.0 to 7.5),"Spring, summer","Yellow, green",Eastern Asia (Japan),,Sapindaceae
557,Lagerstroemia x ‘Acoma’,Acoma crape myrtle,Tree,Full,Well-draining,Slightly acidic to neutral,"Spring, summer",White,"Asia, Australia",,Lythraceae
456,Acorus,"Acorus, sweet flag, calamus","Herbaceous perennial, rhizome",Full sun to part shade,"Moist to wet, variety of types",6.5-7.5,Spring,Greenish-yellow (not showy),"Japan, China",Toxic to humans and animals,
668,Aeonium spp.,Aeonium,Perennial succulent,Full sun to part shade,Sandy loam,5.6–6.0 (slightly acidic),Late winter or spring,"Pink (flowering is rare, occurring only in mature plants)","Canary Islands, Africa",,Crassulaceae
779,Aerangis spp.,Aerangis orchids,Epiphytic orchids,"Part sun, bright filtered light",Orchid potting mix,5.5 to 6.0 (acidic),Spring to fall (varies by species),"White, yellow","Tropical Africa, Madagascar",,
890,Osteospermum spp.,"African daisy, cape daisy, osteospermum","Perennial, annual",Full,"Moist, well-drained",Acidic,"Spring, summer, fall","Purple, pink, yellow, orange, white","Africa, Asia",,Asteraceae
1001,Afrocarpus gracilior or Podocarpus gracilior,African fern pine,Coniferous tree,Full sun (tolerates part shade),Well-drained,"Acidic, Neutral",Spring,Yellow (flowers are insignificant),East Africa,,Podocarpaceae
1094,Tagetes erecta,"African marigold, Mexican marigold, Aztec marigold, American marigold",Annual,Full,"Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Orange, yellow, white","North America, Central America",Toxic to humans,Asteraceae
1219,Euphorbia trigona,"African milk tree, African milk bush",Succulent,Partial,"Loamy, well-drained",Neutral,"Spring, summer",White,Africa,"Toxic to humans, toxic to pets",Euphorbiaceae
221,Agave,"Agave, century plant","Perennial, succulent",Full,"Sandy, well-drained","Acidic, neutral",Varies — most plants only bloom once in their lifetime,"Green, white, yellow","North America, Central America, South America","Toxic to people, toxic to pets",Asparagaceae
381,Tillandsia cacticola,Air plant,Houseplant or annual,"Bright, indirect light to full sun",Not applicable,Not applicable,"Once, when fully matured",White,Peru,,
392,Tillandsia kolbii,Air plant,Houseplant or annual,"Bright, indirect light",Not applicable,Not applicable,"Once, when fully matured","Red, orange, or purple",Mexico and Guatemala,,
403,Tillandsia stricta,Air plant,Houseplant or annual,"Bright, indirect light",Not applicable,Not applicable,"Once, when fully matured","Red, pink, blue, or purple",South America,,
425,Pinus halepensis,"Aleppo pine, Jerusalem pine","Evergreen, Tree",Full sun,"Loamy, Sandy","Acidic, Neutral, Alkaline",,,Mediterranean,,Pinaceae
436,Hedera algeriensis,"Algerian ivy, Canary Island ivy, Madeira ivy",Evergreen vine,Partial shade to partial sun,"Neutral, well-draining","Neutral, slightly acidic",Spring,Flowers rarely; light green,North Africa,Toxic to humans and animals,
448,Juniperus deppeana,"Alligator juniper, checkerbark juniper, western juniper",Evergreen tree,Full sun,"Dry, well-draining",Slightly acidic,,,"Mexico, southern United States",,Cupressaceae
459,Prunus dulcis,Almond tree,Deciduous tree,Full sun,"Rich, deep, well-drained loam",Slightly acidic to neutral to slightly alkaline,March,"White, pink",North Africa and the Middle East,,
503,Alocasia reginula A.Hay,"Alocasia Black Velvet, Black Velvet Elephant Ear","Herbaceous, Perennial",Partial,Well-drained,"Acid, Neutral",Very occasional,White,Southeast Asia,"Toxic to people, toxic to pets",Araceae
513,Alocasia baginda 'Dragon Scale',Alocasia dragon scale,"Perennial, corm",Partial,Moist but well-draining,"Neutral, alkaline","Spring, summer","Green, white",Asia,,Araceae
524,Alocasia micholitziana 'Frydek',"Alocasia frydek, green velvet Alocasia",Herbaceous perennial,Partial,Moist but well-drained,Acidic,"Spring, summer",Green,Asia,"Toxic to cats, dogs, and horses",Araceae
546,Alocasia maharani,"Alocasia grey dragon, African mask maharani","Perennial, corm",Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white",Asia,Toxic to pets,Araceae
492,Alocasia baginda 'Silver Dragon',Alocasia silver dragon,"Herbaceous, Perennial",Partial,Well-drained,"Neutral, Alkaline","Spring, summer (very occasional)",White,Southeast Asia,"Toxic to people, toxic to pets",Araceae
535,Alocasia macrorrhiza ‘Stingray’,Alocasia stingray,"Perennial, corm",Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white",Asia,Toxic to pets,Araceae
481,Alocasia 'Tiny Dancer',Alocasia tiny dancer,"Perennial, corm",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer","Green, white",Asia,Toxic to pets,Araceae
470,Alocasia spp.,"Alocasia, elephant ear",Herbaceous perennial,Bright indirect light indoors; part shade outdoors,"Loose, well-draining potting mix or crumbly loam",Slightly acidic (5.5 to 6.5),Spring and summer,Light butter-yellow (flowers are not showy),Tropical regions of Asia,"Toxic to dogs, cats, and humans","Araceae, or Aroid"
580,Ribes alpinum,"Alpine currant, Mountain currant",Shrub,Full sun,"Moist, well-drained",6.1 - 7.8,Spring,Green-yellow,Central and Northern Europe,,
602,Pilea cadierei,"Aluminum Plant, Watermelon Pilea",Herbaceous perennial,"At least four hours of indirect, sun a day",Sandy soil mixture,Slight acidic to neutral,Rarely blooms,White,North Africa,,
635,Hippeastrum (Group),Amaryllis,Perennial bulb,"Full, partial",Well-drained,"Acidic, neutral","Spring, winter","Red, pink, white with spots and bands","Central America, South America",Toxic to humans and pets,Amaryllidoideae
1111,Alocasia x amazonica,Amazonian elephant's ear,Tropical,Partial,"Moist, well-drained",Neutral to acidic,"Spring, summer (rarely blooms)",Green,Asia,"Toxic to humans, dogs, and cats",
646,Allium 'Ambassador',"Ambassador allium, Ambassador flowering onion",Bulb plant,Full sun,"Friable, evenly moist, and well-drained",Slightly acidic to neutral,May to June,Light purple,Northern Hemisphere,Toxic to dogs and cats,
89,Callicarpa americana,"American beautyberry, beautyberry, French mulberry",Shrub,"Full, partial","Loamy, clay, moist, well-drained","Acidic, neutral","Spring, summer","Pink, purple, white",North America,,Verbenaceae
657,Fagus grandifolia,American beech tree,Deciduous tree,"Full, partial","Medium moisture, rich, well-drained",Acidic (5.0–6.5),April to May,Yellowish-green (not showy),Eastern North America,Unripe nuts are mildly toxic,Fagaceae
680,Panax quinquefolius,"American ginseng, Asain ginseng",Deciduous perennial,"Partial shade, shade",Moist but well-drained,Acidic,Summer,Greenish white,"North America, Asia",,
909,Carpinus caroliniana,"American hornbeam, blue beech, musclewood, ironwood, water beech",Tree,"Shade, Partial","Moist, Well-drained","Acidic, Neutral",,,North America,,Betulaceae
691,Diospyros virginiana,American persimmon,Deciduous tree,"Full sun, afternoon shade","Tolerant of all soils except salt, loam preferred",6.5 to 7.5,Late spring,White or pink,Eastern North America,,
713,Wisteria frutescens,American wisteria,Vine,"Full, partial",Moist but well-drained,"Acidic, neutral","Spring, summer","Blue, purple, white",North America,Toxic to humans and pets,
724,Adonis amurensis,Amur adonis,Herbaceous perennial,Full sun to partial shade,Well-drained,Slightly acidic to slightly alkaline,March or April in zone 5,Yellow,Northeastern Asia,,
104,"Acer ginnala, Acer tataricum subsp. ginnala","Amur maple, Siberian maple","Tree, shrub",,"Loamy, sandy, clay, well-drained",,Spring,White,Asia,,
1228,Bauhinia lunarioides,"Anachacho Orchid Tree, Texasplume, pata de vaca (cow hoof)",Deciduous shrub,Partial sun to partial shade,"Fast-draining, sandy, limestone",7.5-8.5 alkaline,March through May,"pink, white","India, China, Mexico",,
735,Anemone spp.,"Anemone, windflower, Grecian windflower, poppy windflower",Herbaceous perennial,Full to partial sun,"Rich, moist","Acidic, neutral","Spring, summer, fall (varies by species)","Red, orange, yellow-green, blue, purple, red-purple, white, ivory, pink",Temperate zones worldwide; many species are native to North America,"Toxic to humans, toxic to pets",Ranunculaceae
757,Angelica archangelica,Angelica,Herbaceous biennial,"Full sun, part shade","Rich, moist soil",Slightly acidic,June to August,"Green, White","Europe, Greenland, West Siberia",,Apiaceae
768,Sedum rupestre 'Angelina',"Angelina stonecrop, rocky stonecrop",Herbaceous perennial,"Full, partial","Moderately moist, well-draining",6.0 to 7.0 (slightly acidic to neutral),Summer,Yellow,"Europe, Turkey",,Crassulaceae
780,Angelonia angustifolia,"Angelonia, summer snapdragon","Perennial in warm climates, grown as an annual in USDA zones 8 and lower",Full sun,"Moist, fertile, well-drained",Acidic,Summer,"White, pink, mauve, violet, purple","Mexico, West Indies, South America",,Plantaginaceae
791,Agastache foeniculum,"Anise Hyssop, Agastache, Licorice Mint, Hummingbird Mint, blue giant hyssop, fragrant giant hyssop, licorice plant, lavender giant hyssop",Native herbaceous perennial,Full sun,"Fertile Chalk, Loam, Sand (not heavy clay, which doesn't drain well and causes winter problems)",Neutral,Mid-summer to fall,"Pink to creamy white, powder blue to red-violet (most commonly blue to lavender purple)",North America,,
802,Magnolia salicifolia,"Anise magnolia, willow leaf magnolia",Deciduous tree,"Full, partial","Moist, well-drained",Acidic (4.5-6.5),Early spring,White,East Asia (Japan),,Magnoliaceae
229,Phlox drummondii,"Annual Phlox, Drummond Phlox, Pride-of-Texas",Annual,"Full sun, partial shade",Moist but well-drained,Acidic,"Spring, summer","Red, pink, purple, white",North America,,
372,Pelargonium spp. and hybrids,"Annual geranium, zonal geranium, regal geranium, ivy-leaved geranium","Herbaceous perennial flower, usually grown as an annual",Full sun; tolerates light shade,"Rich, medium-moisture, well-drained soil",Slightly acidic (5.8 to 6.5),Flowers freely throughout season,"Red, purple, pink, magenta orange, salmon, white, bicolors",Species are from Southern Africa; most are now cultivated hybrids,"Toxic to people, cats, dogs, and pets",
824,Prunus armeniaca,Apricot Tree,Tree,Full Sun,"average, medium moisture, well-drained",Neutral to Slightly Alkaline,Late April,white or pink,China,,
835,Jasminum sambac,Arabian jasmine,Evergreen,"Full, partial","Loamy, moist but well-drained","Acidic, neutral",Summer,"Pink, white",Asia,,
896,Papaver nudicaule,"Arctic poppy, Iceland poppy",Perennial,"Full, partial","Rich, well-drained",Neutral,Late spring to early summer,"Pink, red, orange, yellow, white","Subarctic regions of North America, Canada, Europe, and Asia",Toxic to humans and animals,
879,Syngonium podophyllum,Arrowhead vine,Vine,Partial shade,Moist but well-drained,Neutral to acidic,Summer (rarely flowers),White,"South America, Mexico",Toxic to dogs and cats,
902,Artemisia spp.,Artemisia,"Herbaceous, perennial, shrub",Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","White, yellow","Central America, Europe, North America, South America","Toxic to people, toxic to pets",Asteraceae
913,Cynara scolymus,"Artichoke, globe artichoke, French artichoke, green artichoke","Herbaceous, perennial, biennial",Full,Well-drained,Neutral,"Summer, fall",Purple,Mediterranean,,Asteraceae
924,Eruca versicaria,"Arugula, rocket, garden rocket","Annual, vegetable","Full sun, part shade","Loamy, moist, well-drained","Acidic, neutral (6 to 7)",Seasonal,,Mediterranean,,Brassicaceae
946,Magnolia ashei,"Ashe's Magnolia, Ashe Magnolia",Tree,"Full Sun, Partial Shade","Fertile, Well-drained","Acid, Neutral, Alkaline","Spring, Summer",White,Florida,,
957,Trachelospermum asiaticum,"Asiatic jasmine, Asian star jasmine, dwarf jasmine, small-leaf confederate jasmine",Perennial vine,"Full, partial",Well-drained,Acidic to neutral (5.5 to 7.0),"Spring, summer",Yellow,"Japan, Korea",,Apocynaceae
968,Asparagus officinalis,Asparagus,"Perennial, vegetable",Full sun,"Sandy, loamy","Neutral, acidic","Summer, fall","Yellow, green","Europe, Africa",Berries toxic to humans,Asparagaceae
979,"Asparagus aethiopicus, A. densiflorus",Asparagus fern,Herbaceous perennial,"Partial (outdoor); bright, indirect light (indoors)",Well-drained potting mix,Slightly acidic (6.5-6.8),Spring to fall,White; flowers are insignificant,South Africa,Mildly toxic humans; moderately toxic to dogs and cats,Asparagaceae
1002,Astilbe spp.,"Astilbe, false spirea, false goat's beard","Perennial, rhizome","Partial, full","Loamy, moist","Acidic, neutral","Spring, summer","Pink, red, purple, white","Asia, North America",,Saxifragaceae
1013,Aubrieta spp.,"Aubrieta, false rock cress","Perennial, herbaceous","Full, partial",Well-drained,"Acidic, alkaline",Spring,"Pink, purple, white",Europe,,Brassicaceae
1023,Cyathea cooperi,"Australian tree fern, Cooper's tree fern, lacy tree fern, scaly tree fern",Evergreen fern,Partial sun,"Moist, well-drained","Neutral, acidic",,,Australia,Not toxic to humans or animals,Cyatheaceae
1045,Clusia rosea,"Autograph tree, balsam apple, pitch apple","Shrub, tree",Full,"Sand, clay, loam, well-draining","Acidic, neutral",Summer,"White, pink","Caribbean, Central America","Toxic to humans, and toxic to pets.",Clusiaceae
1056,Acer x freemanii 'Autumn Blaze',"Autumn blaze maple tree, Freeman maple",Tree,"Full, partial",Well-drained,Acidic,,,North America,,Sapindaceae
1152,Colchicum autumnale,"Autumn crocus, meadow saffron, naked ladies, colchicum",Perennial,"Full, partial","Loamy, well-drained","Acidic, neutral, alkaline",Fall,"Pink, purple, white, yellow","Europe, Africa, Asia",Toxic to people and animals,Liliaceae
1078,Salvia greggii,"Autumn sage, Texas sage, Red Chihuahuan sage","Perennial, ""subshrub""",Full,"Well-draining, fertile",Slightly acidic to slightly alkaline (6.1–7.8),Early summer to mid-fall,"Red, pink, white, violet, peach, orange","Southwestern North America (Mexico, Texas, Arizona, New Mexico)",,Lamiaceae
1089,Persea americana,Avocado Tree,"Tree, Fruit","Full, Partial","Loamy, Sandy, Well-drained","Acidic, Neutral","Late Winter, Spring, Early Summer","Yellow, Green","North America, Central America, Asia",Toxic to pets,Lauraceae
1100,Rhododendron spp.,Azalea,Deciduous or evergreen shrub,,"Light, well-drained",Acidic (4.5 to 6.0),Early spring to summer,"White, pink, red, orange, peach","Asia, Europe, North America",Toxic to humans and pets,Ericaceae
1144,Fenestraria rhopalophylla,"Baby Toes, Baby's Toes, Window Plant",Succulent,Full,"Sandy, well-drained",Acidic,"Spring, fall","Yellow, white",Namibia and South Africa,Toxicity to pets is widely debated; exercise caution,
1123,Peperomia Obtusifolia,"Baby rubber plant, pepper face plant","Perennial, Herbaceous",Partial,"Clay, Sand, Loam","Acidic, Neutral, Alkaline",Periodic through the year,White,South America,,Piperaceae
1134,Soleirolia soleirolii,"Baby tears, baby's tears, angel's tears","Herbaceous perennial, often grown as an annual",Partial sun to shade,"Rich, moist loam",5.0 to 6.0 ( slightly acidic),Late spring to early summer; May to June,Creamy ivory,Mediterranean,,Urticaceae
1155,Gypsophila,Baby's breath,"Perennial, annual",Full,Well-drained,Alkaline,Summer,"White, pink","Europe, Africa, Asia, Australia","Toxic to people, toxic to pets",Caryophyllaceae
659,Euphorbia hypericifolia,"Baby's-breath euphorbia, graceful spurge, diamond frost euphorbia",Evergreen perennial (also grown as an annual),"Full sun, partial shade","Loamy, well-drained",Neutral to acidic,"Late spring, summer",White,North America,Toxic to dogs and cats,
1177,Paspalum notatum,"Bahia grass, bahiagrass",Grass,Full sun,"Sandy, poor soil",Acidic,,Not applicable,South America,,
1187,Taxodium distichum,Bald Cypress,Deciduous Conifer,Full sun,"Average, medium to wet, but adaptable","Prefers acidic, but can be adaptable",Non-flowering,Non-flowering,Southern United States,,
1197,Parodia magnifica,"Ball cactus, balloon cactus, silver ball cactus, blue ball cactus, rounded ball cactus",Cactus,"Full sun, partial shade","Sandy, well-drained",Acidic,Summer,"Yellow, pink, red, orange",South America,,Cactaceae
1208,Platycodon grandiflorus,"Balloon flower, Chinese bellflower, Japanese bellflower",Herbaceous perennial,Full sun to part shade,"Rich, loamy, medium moisture, well-draining",5.5–7.5 (acidic to slightly alkaline),Summer,"Blue-violet, white, pink","China, Korea, Japan, Russia",,Campanulaceae (bellflower)
1220,Populus x jackii,Balm of Gilead,Tree,Full,"Loamy, sandy, moist but well-drained",Neutral,Spring,"Red, yellow, green",North America,,Salicaceae
1231,Abies balsamea,Balsam fir,Tree,"Full, partial","Loamy, sandy, moist but well-drained",Acidic,,,North America,"Toxic to people, toxic to pets",Pinaceae
1253,Chamaedorea seifrizii,Bamboo palm,"Perennial, clustered parlour palm, reed palm, cane palm","Partial, shade",Moist but well-drained,"Acidic, neutral","Spring, summer","Yellow, orange",Central America,,
1275,Yucca baccata,"Banana Yucca, datil yucca, Spanish bayonet",Cactus/Succulent,Full,"Dry, sandy, well-drained","Neutral, alkaline",Spring,Cream/White,"Southwestern US, Mexico","Toxic to dogs, cats, horses",Asparagaceae
1295,Pyrus communis,"Bartlett Pear Tree, Williams Pear Tree","Tree, Fruit",Full,"Loamy, clay, moist but well-drained",Acidic,Spring,White,Europe,,Rosaceae
1306,Euphorbia obesa,"Baseball plant, sea urchin plant",Succulent perennial,"Bright, direct light; tolerates some shade",Well-draining cactus/succulent potting mix,6.0–7.0 (slightly acidic to neutral),Summer (flowers are fairly insignificant),Grayish-green,South Africa,Mildly toxic,
1317,Centaurea americana,"Basket flower, basket-flower, American basketflower, American starthistle","Annual, herb",Full sun,"Sandy, loamy, clay","Acid, neutral",Late spring to early summer,"Lavender, pink, purple, white",North America,,
1,Tilia spp.,"Basswood, Linden, Lime",Deciduous tree,Full sun,"Average, medium moisture, well-drained",Varies,Late spring,Pale yellow,Varies,,Malvaceae
12,Tacca chantrieri,"Bat flower, tiger beard, cat's whiskers, devil's flower",Perennial,Partial sun to dappled shade,"Fertile, well-drained",6.1 to 7.5,Late summer through fall,Black (dark purple),"Southeast Asia, Australia",,
23,Iris germanica 'Batik',"Batik iris, Batik German iris, Batik bearded iris",Herbaceous perennial,Full sun,"Friable, evenly moist, and well-drained",Neutral,May,"Royal purple, with white blotches",The eastern Mediterranean,,
998,Laurus nobilis,"Bay laurel, laurel, laurel tree, bay tree, bay leaf, sweet bay","Tree, shrub","Full, partial","Moist, well-drained","Acidic, neutral, alkaline","Spring, summer",Yellow,Mediterranean,Toxic to pets,Lauraceae
34,Corylus cornuta,Beaked hazelnut,Deciduous shrub,Full sun,Well-drained,6.8-7.2,Spring,"Yellow catkins (male), red flowers (female)",North America,,
67,Iris germanica,Bearded iris,"Herbaceous, perennial",Full,"Average, well-draining",,Spring,"Red, orange, yellow, blue, purple, brown, white, pink, many bicolors",Southern Europe and the Mediterranean,Toxic to dogs and cats,Iridaceae
78,Penstemon,Beardtongue,"Herbaceous, perennial",Full,Well-drained,Neutral to acidic,"Spring, summer","Purple, blue, orange, red, yellow, pink, white",North America,,Plantaginaceae
100,Leucanthemum x superbum 'Becky',Becky shasta daisy,"Herbaceous, perennial",Full,Well-drained,Neutral,Summer,White,North America,Toxic to people and animals,Asteraceae
112,Monarda,"Bee Balm, Wild Bergamot","Perennial, Herb","Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","Summer, Fall","Red, Pink, Purple, White",North America,,Lamiaceae
166,Monarda spp.,"Bee balm, monarda, wild bergamot","Herbaceous, perennial","Full, partial","Rich, moist","Acidic, neutral",Summer,"Red, purple, pink, white, lavender",North America,,Lamiaceae
123,Solanum lycopersicum,Beefsteak Tomatoes,"Annual, vegetable",Full sun,"Fertile, well-drained",Slightly acidic,Summer,Yellow,Central and South America,Foliage (not fruit) is toxic to humans and some pets,
134,Beta vulgaris,"Beet, beetroot","Annual, vegetable","Full sun, part sun","Loamy, moist, well-drained","Acidic, neutral (6.0–7.0)",Seasonal,,Europe,,Amaranthaceae
188,Solanum lycopersicum ‘Better Boy’,Better Boy tomato,Annual vegetable,Full; 6 to 8 or more hours per day,"Loamy, moist but well-drained","6.5 to 6.8, slightly acidic","Summer, Fall",Yellow,North America,Toxic to pets,
199,Bidens,Bidens,"Annual, perennial",Full,Well-drained,Slightly acidic to neutral,Summer,"Yellow, Gold, White, Pink, Orange","North America, South America, Africa, Europe, Asia",,Asteraceae
210,Andropogon gerardi,"Big bluestem, turkey foot, tall bluestem, bluejoint",Grass,"Full sun, part shade","Sandy, loam, clay, well-draining",4.8-6.9,Summer,"Purple, yellow",North America,,
232,Vinca major,"Bigleaf Periwinkle, Greater Periwinkle, Blue Periwinkle",Evergreen perennial,Shade to full sun,"Well-drained, clay or loam",Slightly acidic,Mid to late spring,"Purple, blue","Southern Europe, Northern Africa, Asia",Mildly toxic,
243,"Strelitzia reginae, Strelitzia nicolai","Bird of paradise, crane flower",Herbaceous perennial,Full to partial,Loamy,Slightly acidic,Late winter to early spring,Orange or white,Africa (South Africa),Toxic to pets,Strelitziaceae
1314,"Strelitzia reginae, Strelitzia nicolai","Bird of paradise, crane flower",Herbaceous perennial,Full to partial,Loamy,Slightly acidic,Late winter to early spring,Orange or white,Africa (South Africa),Toxic to pets,Strelitziaceae
254,Asplenium nidus,"Bird's nest fern, nest fern",Perennial,"Partial, shade","Loamy, moist, well-drained",Acidic,None,None,"Asia, Australia, Africa",,Aspleniaceae
298,Citrullus lanatus ‘Black Diamond’,Black Diamond Watermelon,Annual,Full,"Loamy, Sandy, Moist but Well-drained","Acidic, Neutral",Summer,Yellow,North America,,
331,Picea glauca 'densata',Black Hills Spruce,Coniferous Evergreen,Full Sun,"Moist, well-drained",Acidic,Non-flowering,Non-flowering,Black Hills of South Dakota,,Pinaceae
265,Fraxinus nigra,Black ash,Deciduous tree,Full sun,Adaptable to a wide range of soils,4.4 to 8.2,April to May,Greenish-yellow,Eastern U.S. and Canada,,
276,Phyllostachys nigra,Black bamboo,Grass,Full sun to partial shade,"Well-draining, moist, loamy",Acidic to slightly alkaline,Every 40 to 60 years,Brown,Asia,Non-toxic,
342,Gaylussacia baccata,Black huckleberry,Perennial shrub,Part shade,"Sandy, rocky",4.3-5.2,Spring,"Yellow, pink",North America,,
353,Sambucus nigra 'Eva' BLACK LACE®,Black lace elderberry,Deciduous shrub,Full to partial,"Humusy, moist but well drained",Slightly acidic to neutral,June to July,Light pink,Cultivar; no native range (parent species is a European native),"Toxic to humans, pets",Viburnaceae
364,Brassica nigra,Black mustard,"Herb, Annual",Full sun,"Rich, Moist Loams,",Neutral,March to June,Bright Yellow,"North Africa, Eurasia",,
375,Diospyros nigra,"Black sapote, chocolate pudding fruit, chocolate sapote",Evergreen fruit tree,Full sun,,Slightly acidic to slightly alkaline (5.5 to 7.5),,,Central America,,
376,Salix nigra,Black willow,Deciduous tree,"Full sun, part shade","Moist, well-drained soil, wet soil",4.5 to 7.5,Early spring,Gold,Eastern to Midwest North America,,Salicaceae
377,Thunbergia alata,"Black-eyed Susan vine, clockvine","Perennial, annual, vine","Full, partial",Well-drained,Neutral,Summer,"Orange, white, yellow, red, pink",Africa,,Acanthaceae
433,Rudbeckia hirta,"Black-eyed Susan, brown Betty, Marguerite Jaune, hairy coneflower",Short-lived Perennial,Full,"Moist, well-drained","Acidic, neutral","Summer, fall","Yellow, orange, red",North America,,Asteraceae
610,Vigna unguiculata,"Black-eyed pea, cowpea, southern pea, field pea",Annual vegetable,Full sun,Sandy,Acidic to neutral (5.8 to 7.0),Summer,"Yellow, pink, purple, white; not showy",West Africa,,
1262,Philodendron melanochrysum,"Black-gold philodendron, melano plant","Perennial, vine",Partial,"Loamy, moist but well-drained",Acidic,Summer,"Green, white",South America,,Araceae
378,Rubus Fruticosus,Blackberry,Perennial,Full sun,"Rich, well-drained loam",Slightly acidic to neutral (5.5 to 7.0),,,"North America, especially the Pacific Northwest",,
379,Iris domestica,"Blackberry lily, leopard lily","Herbaceous, perennial",Full,Well-drained,"Acidic, neutral, alkaline",Summer,"Orange, yellow, red",Asia,"Toxic to humans﻿﻿﻿﻿, toxic to pets",Iridaceae
382,Quercus marilandica,Blackjack oak,Deciduous tree,Full sun,Dry to medium well-drained soil,Acidic to neutral soil,May,,Central and southeastern United States,,Fagaceae
788,Liatris spicata 'Kobold',"Blazing star, dense blazing star, gayfeather, liatris",Herbaceous perennial,Full,"Medium moisture, well-drained",Acidic to neutral,,Purple,"Cultivar, no native range; parent species is a North American native",,Asteraceae
1015,Liatris spicata,"Blazing star, liatris, dense blazing star, gay feather",Herbaceous perennial,Full,"Medium-moisture, well-drained",Acidic to neutral (5.5 to 7.5),Summer to early fall,"Purple, reddish-purple, white",Eastern North America,,Asteraceae
384,Lamprocapnos spectabilis (formerly Dicentra spectabilis),"Bleeding heart, common bleeding heart, fern-leaf bleeding heart","Herbaceous, perennial","Partial, shade","Moist, well-drained","Acidic, neutral",Spring,"Pink, white, red",Asia,"Toxic to people, toxic to pets",Papaveraceae
385,Scadoxus multiflorus,"Blood Lily, African Blood Lily, Fireball Lily",Perennial,Partial,"Loamy, sandy, moist but well-drained","Acidic, Neutral, Alkaline","Summer, Fall",Red,Africa,Toxic to pets,
