,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
36,Rockrose,Cistus spp.,Cistaceae,Shrub,3-5 ft. tall and wide,Full,Well-drained,"Acidic, neutral, alkaline",Summer,"Pink, yellow, white",6-10 (USDA),Mediterranean,
37,"Rock cotoneaster, rockspray cotoneaster, wall cotoneaster",Cotoneaster horizontalis,,Deciduous shrub,2 to3 feet tall; 6- to 8-foot spread feet,Full sun,Well-drained; young plants need evenly moist soil,6.75 to 7.5 (neutral to slightly alkaline),Late spring,Light pink,5 to 7 (USDA),Western China,
38,"Rocky Mountain Juniper, Red Cedar",Juniperus scopulorum,Cupressaceae,"Tree, shrub","3 to 30 ft. tall, spread of 3-15 ft.","Full, Partial",Sandy,Neutral,,,"4, 5, 6, 7, 8, 9",North America,
39,"Roma tomato, paste tomato",Solanum lycopersicum,Solanaceae,"Annual, vegetable","3-5 ft. tall, 2-4 ft. spread",Full,"Loamy, well-drained",Acidic,Summer,,3-11 (USDA),,"Toxic to humans, toxic to pets (non-fruit parts)"
40,Rose,Rosa spp.,Rosaceae,Deciduous shrub,6 inches to 20 feet in height and width,Full sun,"Loamy, well drained",Slightly acidic to neutral (6.5 to 6.8),"Spring, summer, fall","White, red, pink, yellow, orange","2 to 11, depending on type; USDA","Europe, Asia, North America",
41,"Rose Campion, Rabbit's Ears, Crown Pink",Lychnis coronaria,Caryophyllaceae,"Biennial, short-lived perennial",12-18 in. high,Partial to full sun,"Well-drained, tolerant of most soils",Neutral to partly acidic,Early to mid summer,"Magenta, pink, white",5-8 (USDA),Europe,
42,Rosemary,Salvia rosmarinus,Lamiaceae,"Herb, perennial","2–6 ft. tall, 2–4 ft. wide",Full sun,"Sandy, loamy, well-drained","Acidic, neutral","Spring, summer",,8–10 (USDA),Mediterranean,
43,Rosemary,Salvia rosmarinus,,Herbaceous perennial,,43,,,,,,,
44,"Royal poinciana, flame tree, flamboyant, peacock flower, gold mohair, royal flame tree",Delonix regia,Fabaceae,Tree,"30–40 ft. tall, 40-70 ft. wide",Full,"Loamy, sandy, clay, well-drained","Acidic, neutral, alkaline",Summer,"Red, orange",10–12 (USDA),Africa,
45,"Rubber plant, rubber tree",Ficus elastica,,Evergreen tree,"50–100 ft. tall (outdoors), 50–100 ft. wide (outdoors)",Partial shade,Moist but well-drained,Acidic,Rarely blooms,Rarely blooms,10–12 (USDA),Asia,Toxic to dogs and cats
46,Bearded iris,Iris germanica,Iridaceae,"Herbaceous, perennial","12–40 in. tall, 1 –2 ft. wide",Full,"Average, well-draining",,Spring,"Red, orange, yellow, blue, purple, brown, white, pink, many bicolors",3–9 (USDA),Southern Europe and the Mediterranean,Toxic to dogs and cats
47,"String of rubies, ruby necklace, string of pickles",Othonna capensis,,Succulent,2 inches tall,Direct sun,"Well-draining, cactus/succulent soil",6.0-6.5,"Spring, summer, fall",Yellow,,South Africa,
48,Ruby Slippers hydrangea,Hydrangea quercifolia 'Ruby Slippers',,Deciduous flowering shrub,"Three to four feet height, three to five feet width",Full sun to part shade,Loamy,5 to 6.0,Summer,White gradually turning pale pink then ruby red,5-9 (USDA),(of the species) Southeastern US from Georgia to Florida to Louisiana,
49,"Rue anemone, windflower",Thalictrum thalictroides (previously Anemonella thalictroides),Ranunculaceae,Herbaceous perennial,"6–9 in. tall, 6–9 in. wide",Partial to full shade,Humus-rich and well-drained,Neutral,March through to early June,White or pale pink,4–8 (USDA),Eastern North America,Possibly toxic to humans and animals
50,Rugosa rose,Rosa rugosa,Rosaceae,"Perennial, shrub, rose","4–6 ft. tall, 4–6 ft. wide",Full,"Loamy, moist, well-drained",Acidic,"Spring, summer","Pink, red, lavender, white",2a–7a (USDA),Asia,
51,"Butcher's broom, horse tongue lily",Ruscus,Asparagaceae,Evergreen,3 feet tall,Partial to full shade,"Well-drained, slightly acidic",03-May,Late winter to early spring,"White, purple or yellow","6 - 9, USA","Africa, Asia, Europe, Eurasia",
52,Russian sage,Salvia yangii (formerly Perovskia atriplicifolia),Lamiaceae,"Shrub, perennial","3-5 ft. tall, 2-4 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","Blue, purple",3a–9b (USDA),Asia,
53,"Rutabaga, Swedish turnip, swede",Brassica napus (Napobrassica Group),,Root vegetable,"12 to 24 inches tall, 9 to 12 inches wide",Full sun,"Loamy, well-drained",Slightly acidic to neutral (6.0 to 6.5),Rarely flowers,Yellow,3 to 9,Europe,
54,Saffron Crocus,Artemisia dracunculus (Sativa subspecies),,Perennial herb,24 inches,Part Sun/Part Shade,"Sandy, well-drained",Neutral (6.5 to 7.5),Summer,Light green leaves,4 and above,Temperate Europe and Asia,
55,"Sagebrush buttercup, crowfoots",Ranunculus glaberrimus,,Perennial,3 to 4 inches,Full sun,"Good drainage, tolerant of most soils, likes moisture",6.0 to 7.5,Early spring,Yellow,USDA 2 to 6,"Northwestern US, western Canada","Toxic to people, toxic to animals"
56,"Sago palm, king sago, cycad, Japanese sago",Cycas revoluta,Cycadaceae,Perennial shrub,3–10 feet tall and wide,"Full, partial","Sandy, moist, but well-draining soil",Acidic (5.5–6.5),Nonflowering,Nonflowering,9–10 (USDA); grown as houseplants in all zones,Asia,Toxic to humans and pets
57,Beardtongue,Penstemon,Plantaginaceae,"Herbaceous, perennial",6 in. to 8 ft. tall and 8 to 20 in. wide,Full,Well-drained,Neutral to acidic,"Spring, summer","Purple, blue, orange, red, yellow, pink, white",03-Aug,North America,
58,San Marzano Tomato,Lycopersicon esculentum 'San Marzano',Solanaceae (nightshade),Annual vegetable plant,"6 to 8 feet tall, 2 to 3 feet wide",Full sun,"Organic, well-draining",Acidic to Neutral,Summer,,"5-10, USA",Europe,Plant is toxic; fruit is non-toxic
59,"Saskatoon Serviceberry, Western Serviceberry, Indian Pear, Prairie Berries, Juneberries",Amelanchier alnifolia,Rosaceae,Shrub,8-10 ft.,"Full, Partial","Moist, Well-drained",Neutral,Spring,White,4-7 (USDA),North America,
60,Sassafras,Sassafras albium,Lauraceae,Tree,"30 to 60 ft. tall, 25 to 40 ft. wide","Full sun, part shade","Loamy, sandy, moist, well-drained",Neutral to acidic (6.0 to 7.0),Spring,Greenish-yellow,"4-9, USA",Eastern North America,
61,"Satin flower, farewell-to-spring","Clarkia amoena; formerly, Godetia amoena",,Annual,"2 to 2.5 feet tall, with a spread of up to one foot",Full sun to partial shade,"Average to low fertility needs, average to low moisture levels, well-drained",Neutral,June to July,"Lavender, pink, red, salmon, or white",3 to 10,West Coast of North America,
62,"Satin pothos, silk pothos, silver pothos, silver philodendron",Scindapsus pictus,,Perennial vine,Four to ten feet length,Bright indirect light indoors,Potting soil mix,6.1 to 6.5,Summer,Inconspicuous,"10-12, USA",Southeast Asia,Toxic to pets
63,"Satsuma orange, Satsuma, satsuma mandarin, unshu mikan, cold hardy mandarin",Citrus unshiu,Rutaceae,Evergreen citrus tree,"10–15 ft. tall, 5–10 ft. wide",Full,"Rich, moist","Acidic, neutral",Spring,White,8-11 (USDA),China,
64,"Saucer magnolia, tulip magnolia, Chinese magnolia",Magnolia x soulangiana,Magnoliaceae,"Tree, shrub","20 to 25 ft. tall, 20 to 25 ft. wide","Full, partial",Moist but well-drained,"Acidic, neutral",Spring,"Pink, white",4-9 (USDA),Asia,
65,Sawtooth sunflower,Helianthus grosseserratus,,Perennial,3 to 12 feet,Full sun,"Rich, moist, and well-draining",Neutral,Late summer to fall,Yellow,"3 to 8, USA",United States and Canada,
66,"Scallion, green onion, spring onion, bunching onion",Allium fistulosum,Amaryllidaceae,"Perennial, bulb","1–3 feet tall, 1–2 feet wide",Full sun,"Sandy, loamy, well-drained","Acidic, neutral",Spring,,6–9 (USDA),Asia,Toxic to pets
67,Scarlet Oak,,,Tree,50 to 70 ft. Tall 40 to 50 ft. Wide,Full Sun,"average, dry to medium, well-drained soil",Acidic,April to May,Yellow to Green,04-Sep,Eastern United States,
68,"American beautyberry, beautyberry, French mulberry",Callicarpa americana,Verbenaceae,Shrub,"3–6 ft. tall, 3–6 ft. wide","Full, partial","Loamy, clay, moist, well-drained","Acidic, neutral","Spring, summer","Pink, purple, white",6–10 (USDA),North America,
69,Scarlet tassel flower,Emilia coccinea,,Annual,1-3 feet,Full sun/partial shade,Well-drained,,Summer,Red/Orange,08-Nov,Tropical Asia,
70,Scented-leaved geraniums,Pelargonium (scented-leaved group),Geraniaceae,"Tender perennial, annual","1 to 3 ft. tall, 1 to 2 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral",Summer,"White, pink, red",10 to 11 (USDA) Grown as an annual elsewhere,Southern Africa,"Toxic to pets, mildly toxic to people"
71,"Schefflera, umbrella plant, umbrella tree",Schefflera spp.,Araliaceae,Broadleaf evergreen,"4 to 6 feet. tall, 3 to 6 feet wide (indoors); up to 25 feet tall (outdoors)","Bright, indirect light",Rich and moderately moist,Slightly acidic (6.0-6.5),Summer (outdoors),"White, pink, or red (indoor plants rarely bloom)",10–12 (USDA),Taiwan,"Mildly toxic humans, toxic to pets"
72,"Satin pothos, silver pothos, silver splash pothos, silver philodendron, silver vine",Scindapsus pictus 'Exotica',Araceae,Vine,10 ft. long,Partial,Moist but well-drained,Acidic,"Spring, summer","Green, white","10-12, USA",Asia,Toxic to pets
73,"Scotch pine, Scots pine",Pinus sylvestris,Pinaceae,Coniferous evergreen tree,"60-125 ft. tall, 40 ft. wide",Full sun (at least six hours per day),Acidic; poor soil is acceptable,5.0 to 7.5,None,None,02-Sep,Europe,
74,"Scotch moss, Scottish moss, moss sandwort",Arenaria verna,Caryophyllaceae,"Herbaceous, evergreen, perennial","1–2 in. tall, 8–10 in. wide","Full, partial","Rich, well-drained",Acidic to neutral (5.6 to 7.5),Late spring to early summer,White,4–8 (USDA),Europe,
75,"Sea holly, blue sea holly, star thistle",,Apiaceae,"Herbaceous, perennial","2–3 ft. tall, 1–2 ft. wide",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Summer, fall","Blue, purple",5–9 (USDA),"Europe, Asia",
76,Sea Lavender,Limonium latifolium,,Perennial,"6-12 inches, 1-3 feet; up to 2 feet wide","Part sun, sun",Sandy,6.1-7.8,Summer/Fall,"Blue, white, purple, pink",04-Nov,Coastal areas,
77,"Autumn Joy, Autumn Joy stonecrop, stonecrop, sedum, rock moss, gold chain","Hylotelephium telephium 'Herbstfreude' (‘Autumn Joy’), formerly Sedum telephium ‘Autumn Joy’",Crassulaceae,"Herbaceous, perennial",1.5–2 ft. tall and wide,Full,"Sandy, well-drained","Acidic, neutral, alkaline","Summer, fall","Pink, red",3-9 (USDA),"Europe, Asia",
78,"Sensitive plant, touch-me-not, sleepy plant",Mimosa pudica,Fabaceae,"Shrub, herbaceous, perennial, annual","18 in. tall, 1-5 ft. wide","Full, partial","Well-draining, loamy","Acidic, neutral",Summer,"Purple, pink",7–13 (USDA),"Central America, South America",
79,Becky shasta daisy,Leucanthemum x superbum 'Becky',Asteraceae,"Herbaceous, perennial","3–4 ft. tall, 2–3 ft. wide",Full,Well-drained,Neutral,Summer,White,5–9 (USDA),North America,Toxic to people and animals
80,Serbian spruce,Picea omorika,Pinaceae (Pine),"Coniferous, needled, evergreen tree",40 to 60 feet; commonly 100 feet in the wild,Full sun to partial shade,Well-drained,Not fussy about soil pH; can be grown with a soil pH ranging from 5.6 to 9,,,"4b to 7a, USDA",Balkans,
81,Serrano pepper,Capsicum annuum 'Serrano',Solanaceae,"Perennial, vegetable","2–3 ft. tall, 1.5 ft. wide",Full sun,"Loamy, moist, well-drained","Mildly acidic, neutral (6.0 to 7)","Summer, Fall",,9–12 (USDA),Central America,
82,Sesame,Sesamum indicum,Pedaliaceae,Tropical,3-4 feet,Full sun,"Medium texture, well-drained","Neutral, sweet (no salt)",Summer,"White, purple, blue",10 and above (USDA),"Sub-Saharan and North Africa, India",None
83,"Shallot, French shallot, gray shallot, Dutch shallot","Allium cepa var. aggregatum (formerly, Allium ascalonicum, Dutch shallot), A. oschaninii (French shallot), Allium stipitatum (Persian shallot)",Amaryllidaceae,"Biennial, bulb","1–2 ft. tall, 6–12 in. wide",Full sun,"Loamy, well-drained","Neutral, acidic",Spring,,2–10 (USDA),Uncertain; likely southwest Asia,Toxic to pets
84,"Purple shamrock, false shamrock, love plant, shamrock, wood sorrel, oxalis, black oxalis",Oxalis triangularis (synonymous with Oxalis regnellii),Oxalidaceae,Perennial,"0.5–1 ft. tall, 1–2 ft. wide","Full, partial","Loamy, sandy, well-drained",Acidic,"Spring, fall, winter","White, pink, lavender","8–11, USA",South America,"Toxic to people, toxic to pets"
85,Tiger jaws,Faucaria tigrina,Aizoaceae,"Perennial, succulent","Up to 6 in. tall, 6 in. wide","Full, partial","Moist, well-drained",Acidic,"Fall, winter",White,9–11 (USDA),South Africa,
86,Shasta daisy,Leucanthemum × superbum,Asteraceae,Perennial,"9 in.-3 ft. tall, 1-2 ft. wide","Full, partial","Loamy, moist but well-drained",Neutral,"Spring, summer",White,"5-9, USA",North America,Toxic to pets
87,Shingle Oak,Quercus imbricaria,,Deciduous Tree,"40 to 60 ft. wide, 40 to 60 ft. tall",Full Sun,Hummus loams with good drainage,Neutral to slightly alkaline,April,Yellowish-green,"4-8, USA",Central United States,
88,"Shooting star, eastern shooting star, prairie pointers",Dodecatheon meadia or Primula meadia,Primulaceae,"Herbaceous, perennial","9–20 in. tall, 9–12 in. wide",Partial,Rocky or sandy loam,Slightly acidic (6.0 to 6.8),Late spring,"White, pink, purple",4–8 (USDA),Central and Eastern North America,
89,"Showy Lady Slipper, Queen's Lady's Slipper",Cypripedium reginae,,Orchid,1 to 2 ft. tall,Dappled Sun/Part Shade,"Moist, fertile, leafy, humus-rich soil",Acid to neutral,Between May and August depending on location,White flower with pink-magenta pouch,"2-5 and cooler parts of 6, USDA",Eastern North America,Hairs on leaves can be mildly toxic to humans
90,"Bee Balm, Wild Bergamot",Monarda,Lamiaceae,"Perennial, Herb","10-15 in. tall (dwarf), 2-4 ft. tall (standard), 18-24 in. wide (dwarf), 3-4 ft. wide (standard)","Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","Summer, Fall","Red, Pink, Purple, White","3-9, USA",North America,
91,Showy milkweed,Asclepias speciosa,Apocynaceae,"Herbaceous, Perennial",1-3 feet tall,Full,Well-drained,"Acidic, Neutral, Alkaline","Spring, Summer","Purple, Pink",3-9 (USDA),North America,"Toxic to cats, dogs, horses, and humans"
92,"Sedum, stonecrop, showy stonecrop, border stonecrop",Sedum spp.,Crassulaceae,Perennial,"6–24 in. tall, 12–24 in. wide","Full, partial","Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Red, pink, yellow, white",3–10 (USDA),"North America, South America, Central America, Europe, Asia, Africa, Mediterranean",
93,Siberian iris,"Iris x, Iris sibirica",Iridaceae,Herbaceous perennial,"3–4 ft. tall, 2–3 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral","Spring, summer","Blue and purple are most common, but also white, yellow, pink, red",3–8 (USDA),"Europe, Asia","Toxic to humans, toxic to pets"
94,"Amur maple, Siberian maple","Acer ginnala, Acer tataricum subsp. ginnala",,"Tree, shrub","15-18 ft. tall, 15-18 ft. wide",94,"Loamy, sandy, clay, well-drained",,Spring,White,3-8 (USDA),Asia,
95,Silk Floss Tree,Ceiba speciosa (formerly Chorisia speciosa),,Deciduous Tree,50 feet,Full Sun,"Adaptable, well-drained",Adaptable,October-November,Pink,09-Nov,South America,Yes
96,"Silk Tree, Pink Silk Tree, Persian Silk Tree",Albizia julibrissin,Fabaceae,Tree,"20-40 ft. tall, 20-50 ft. wide","Full, partial",Moist but well-drained,"Acidic, neutral, alkaline",Summer,Pink,"6, 7, 8, 9","Middle East, Asia",Seed pods may be toxic if ingested
97,Silky Dogwood,Cornus amomum,,Deciduous shrub,"6 to 12 feet tall, 6 to 12 feet wide.","Part Shade , Shade","Loamy, Moist , Wet",05-Jul,"March, April",White,05-Aug,Eastern North America,
98,Silver carpet,Dymondia margaretae,,Herbaceous perennial,"One to three inches height, one to two feet spread","Full sun, part shade","Sandy, silt, loamy",6.5 to 7.5,Summer,Yellow,"9b-11, USA",South Africa,
99,Silver linden,Tilia tomentosa,,Tree,50 to 70 feet tall; 25 to 30 foot wide,Partial to full sun,Moist and well-draining,Alkaline,Summer,Pale yellow,4 to 7,"Europe, Asia",
100,Silver maple,Acer saccharinum,Sapindaceae,Deciduous tree,"50- 80 ft. tall, 40-60 ft. wide","Full sun, part shade","Moist, well-drained soil, Wet soil",4.5 to 7.5,Early Spring,Inconspicuous,USDA 3a-9a,Eastern United States,
101,Beefsteak Tomatoes,Solanum lycopersicum,,"Annual, vegetable",6 feet tall or more,Full sun,"Fertile, well-drained",Slightly acidic,Summer,Yellow,"2-11, USDA",Central and South America,Foliage (not fruit) is toxic to humans and some pets
102,"Silver maple, soft maple, creek maple, river maple, white maple, water maple",Acer saccharinum,Sapindaceae,Deciduous tree,50 to 100 ft. tall,Full to partial sun,"Sandy, loamy","Acidic, neutral, slightly alkaline",,,"3 to 9, USDA",Eastern North America,
103,"Silvermound, silver mound, wormwood, artemisia, angel's hair",Artemisia schmidtiana 'Silver Mound',Asteraceae,Perennial,"6-12 in. tall, 12-18 in. wide","Full, partial",Well-drained,"Neutral, alkaline",Summer,Yellow,4 to 8,Japan,"Toxic to people, toxic to pets"
104,"Silver squill, wood hyacinth, leopard lily",Ledebouria socialis,Asparagaceae,Perennial,6-10 in. tall and wide,Partial,Well-drained,"Acidic, neutral, alkaline",Spring,Green,10-11 (USDA),Africa,"Toxic to humans, toxic to pets"
105,Silvergrass,Miscanthus spp.,Poaceae,Deciduous Grass,2 to 12 ft. tall,"Full Sun, Partial Shade",Various,Various,"Late Summer, Fall","Silver, Pink",Various,Asia,
106,"Rainbow bitterroot, Rainbow Lewisia, Siskiyou Lewisia, cliff maids",Lewisia cotyledon 'Rainbow',,Evergreen perennial,"8 inches tall (when in bloom), with a greater spread",Partial sun to full sun,"Average fertility, excellent drainage",Acidic to neutral,"April, May, and June","Salmon, white, orange, pink, rose, or yellow",5 to 8,"Several western states of the U.S., and British Columbia in Canada",
107,Sky plant,Tillandsia ionantha,,"Perennial, succulent",Up to 6 in. tall,Partial,,,Fall,"Purple, red, pink",9–11 (USDA),Central and South America,
108,"Slipper plant, lady slipper",Euphorbia lomelii,,Perennial,"3-6 ft. tall, 2-3 ft. wide",Full,"Sandy, Well-drained","Acidic, Neutral, Alkaline","Spring, Summer, Fall","Red, Orange, Yellow","9-11, USA",Central America,Toxic to pets
