web-scraper-order,web-scraper-start-url,plantsLinks,plantsLinks-href
"1665403077-31","https://www.thespruce.com/plants-a-to-z-5116344","Alpine Currant Ribes alpinum","https://www.thespruce.com/alpine-currant-plant-profile-4842353"
"1665403077-32","https://www.thespruce.com/plants-a-to-z-5116344","Althea Shrub Hibiscus syriacus","https://www.thespruce.com/rose-of-sharon-bush-2132728"
"1665403077-33","https://www.thespruce.com/plants-a-to-z-5116344","Aluminum Plant Pilea cadierei","https://www.thespruce.com/growing-aluminum-plants-5087084"
"1665403077-34","https://www.thespruce.com/plants-a-to-z-5116344","Alyssum Lobularia maritima","https://www.thespruce.com/how-to-grow-sweet-alyssum-1402862"
"1665403077-35","https://www.thespruce.com/plants-a-to-z-5116344","Amaranth Amaranthus","https://www.thespruce.com/growing-an-edible-amaranth-harvest-3954015"
"1665403077-36","https://www.thespruce.com/plants-a-to-z-5116344","Amaryllis Hippeastrum","https://www.thespruce.com/growing-amaryllis-1402227"
"1665403077-37","https://www.thespruce.com/plants-a-to-z-5116344","Ambassador Allium Allium 'ambassador'","https://www.thespruce.com/ambassador-allium-care-5081372"
"1665403077-38","https://www.thespruce.com/plants-a-to-z-5116344","American Beech Tree Fagus grandifolia","https://www.thespruce.com/american-beech-tree-plant-profile-4775177"
"1665403077-39","https://www.thespruce.com/plants-a-to-z-5116344","American Elderberry Sambucus canadensis","https://www.thespruce.com/american-elderberry-sambucus-canadensis-3269208"
"1665403077-40","https://www.thespruce.com/plants-a-to-z-5116344","American Ginseng Panax quinquefolius","https://www.thespruce.com/ginseng-plant-profile-4801472"
"1665403077-41","https://www.thespruce.com/plants-a-to-z-5116344","American Persimmon Diospyros virginiana","https://www.thespruce.com/how-to-grow-persimmon-trees-4802642"
"1665403077-42","https://www.thespruce.com/plants-a-to-z-5116344","American Sweetgum Liquidambar styraciflua 'Rotundiloba'","https://www.thespruce.com/american-sweetgum-trees-non-fruiting-type-2132095"
"1665403077-43","https://www.thespruce.com/plants-a-to-z-5116344","American Wisteria Wisteria frutescens","https://www.thespruce.com/american-wisteria-plant-profile-5181640"
"1665403077-44","https://www.thespruce.com/plants-a-to-z-5116344","Amur Adonis Adonis amurensis","https://www.thespruce.com/how-to-grow-and-care-for-amur-adonis-5077255"
"1665403077-45","https://www.thespruce.com/plants-a-to-z-5116344","Anemone Anemone","https://www.thespruce.com/growing-anemone-flowers-1316064"
"1665403077-46","https://www.thespruce.com/plants-a-to-z-5116344","Angel Trumpet Datura Daturainoxia","https://www.thespruce.com/grow-angels-trumpet-indoors-1902439"
"1665403077-47","https://www.thespruce.com/plants-a-to-z-5116344","Angelica Angelica archangelica","https://www.thespruce.com/angelica-plant-growing-guide-5195323"
"1665403077-48","https://www.thespruce.com/plants-a-to-z-5116344","Angelina Stonecrop Sedum rupestre 'angelina'","https://www.thespruce.com/angelina-stonecrop-ground-cover-2132211"
"1665403077-49","https://www.thespruce.com/plants-a-to-z-5116344","Angelonia Angelonia angustifolia","https://www.thespruce.com/how-to-grow-and-care-for-angelonia-4687127"
"1665403077-50","https://www.thespruce.com/plants-a-to-z-5116344","Anise Hyssop Agastache foeniculum","https://www.thespruce.com/anise-hyssop-plant-profile-5118429"
"1665403077-51","https://www.thespruce.com/plants-a-to-z-5116344","Anise Magnolia Magnolia salicifolia","https://www.thespruce.com/growing-anise-magnolia-5078439"
"1665403077-52","https://www.thespruce.com/plants-a-to-z-5116344","Anthurium Anthurium","https://www.thespruce.com/grow-anthurium-plants-1902738"
"1665403077-53","https://www.thespruce.com/plants-a-to-z-5116344","Apricot Tree Prunus armeniaca","https://www.thespruce.com/growing-apricot-trees-5115419"
"1665403077-54","https://www.thespruce.com/plants-a-to-z-5116344","Arabian Jasmine Jasminum sambac","https://www.thespruce.com/arabian-jasmine-guide-5190635"
"1665403077-55","https://www.thespruce.com/plants-a-to-z-5116344","Areca Palm Dypsis lutescens","https://www.thespruce.com/grow-areca-palms-indoors-1902876"
"1665403077-57","https://www.thespruce.com/plants-a-to-z-5116344","Arnold Promise' Witch Hazel Hamamelis x intermedia 'Arnold Promise'","https://www.thespruce.com/witch-hazel-shrubs-2132734"
"1665403077-58","https://www.thespruce.com/plants-a-to-z-5116344","Aronia Aronia melanocarpa","https://www.thespruce.com/black-chokeberry-growing-profile-3269200"
"1665403077-59","https://www.thespruce.com/plants-a-to-z-5116344","Arrowhead Vine Syngonium podophyllum","https://www.thespruce.com/grow-syngonium-indoors-1902739"
"1665403077-60","https://www.thespruce.com/plants-a-to-z-5116344","Arrowwood Viburnum Viburnum dentatum","https://www.thespruce.com/arrowwood-viburnum-shrubs-growing-tips-2132732"
"1665403077-61","https://www.thespruce.com/plants-a-to-z-5116344","Artemisia Artemisia","https://www.thespruce.com/artemisia-1402826"
"1665403077-62","https://www.thespruce.com/plants-a-to-z-5116344","Artichoke Cynara scolymus","https://www.thespruce.com/tips-for-growing-artichokes-1403455"
"1665403077-63","https://www.thespruce.com/plants-a-to-z-5116344","Arugula Eruca vesicaria","https://www.thespruce.com/growing-arugula-in-garden-pots-848160"
"1665403077-64","https://www.thespruce.com/plants-a-to-z-5116344","Arum Lily Zantedeschia aethiopica","https://www.thespruce.com/grow-calla-lily-indoors-1902501"
"1665403077-65","https://www.thespruce.com/plants-a-to-z-5116344","Ashe Magnolia Magnolia ashei","https://www.thespruce.com/growing-ashes-magnolia-trees-5078441"
"1665403077-66","https://www.thespruce.com/plants-a-to-z-5116344","Asiatic Jasmine Trachelospermum Asiaticum","https://www.thespruce.com/asiatic-jasmine-growing-guide-5225789"
"1665403077-67","https://www.thespruce.com/plants-a-to-z-5116344","Asparagus Asparagus officinalis","https://www.thespruce.com/how-to-plant-and-grow-asparagus-1402814"
"1665403077-68","https://www.thespruce.com/plants-a-to-z-5116344","Asparagus Fern Asparagus aethiopicus","https://www.thespruce.com/grow-asparagus-ferns-1902714"
"1665403077-69","https://www.thespruce.com/plants-a-to-z-5116344","Asters Symphyotrichum","https://www.thespruce.com/perennial-aster-flower-plants-1316032"
"1665403077-70","https://www.thespruce.com/plants-a-to-z-5116344","Astilbe Astilbe","https://www.thespruce.com/growing-astible-plants-1402833"
"1665403077-71","https://www.thespruce.com/plants-a-to-z-5116344","Aubrieta Aubrieta","https://www.thespruce.com/aubrieta-profile-4688622"
"1665403077-72","https://www.thespruce.com/plants-a-to-z-5116344","Australian Tree Fern Cyathea cooperi","https://www.thespruce.com/australian-tree-fern-overview-1902715"
"1665403077-73","https://www.thespruce.com/plants-a-to-z-5116344","Austrian Pine Pinus nigra","https://www.thespruce.com/growing-the-austrian-pine-home-garden-3269314"
"1665403077-74","https://www.thespruce.com/plants-a-to-z-5116344","Autograph Tree Clusia rosea","https://www.thespruce.com/growing-clusia-species-indoors-1902545"
"1665403077-75","https://www.thespruce.com/plants-a-to-z-5116344","Autumn Blaze Maple Tree Acer x freemanii","https://www.thespruce.com/autumn-blaze-maple-trees-2132093"
"1665403077-76","https://www.thespruce.com/plants-a-to-z-5116344","Autumn Fern Dryopteris erythrosora","https://www.thespruce.com/autumn-fern-growing-guide-5270039"
"1665403077-77","https://www.thespruce.com/plants-a-to-z-5116344","Autumn Sage Salvia greggii","https://www.thespruce.com/growing-autumn-sage-5113370"
"1665403077-78","https://www.thespruce.com/plants-a-to-z-5116344","Avocado Persea americana","https://www.thespruce.com/avocado-tree-growing-guide-5214445"
"1665403077-79","https://www.thespruce.com/plants-a-to-z-5116344","Azalea Rhododendron","https://www.thespruce.com/how-to-care-for-azaleas-5074145"
"1665403077-80","https://www.thespruce.com/plants-a-to-z-5116344","Baby Rubber Plant Peperomia","https://www.thespruce.com/peperomia-plant-4584414"
"1665403077-81","https://www.thespruce.com/plants-a-to-z-5116344","Baby Rubber Plant Peperomia Obtusifolia","https://www.thespruce.com/peperomia-obtusifolia-growing-guide-5271088"
"1665403077-82","https://www.thespruce.com/plants-a-to-z-5116344","Baby Tears Soleirolia soleirolii","https://www.thespruce.com/baby-tears-plant-4582879"
"1665403077-83","https://www.thespruce.com/plants-a-to-z-5116344","Baby Toes Fenestraria rhopalophylla","https://www.thespruce.com/baby-toes-succulents-profile-5181590"
"1665403077-84","https://www.thespruce.com/plants-a-to-z-5116344","Baby's Breath Gypsophila","https://www.thespruce.com/babys-breath-garden-favorite-4082480"
"1665403077-85","https://www.thespruce.com/plants-a-to-z-5116344","Bachelor's Button Centaurea cyanus","https://www.thespruce.com/grow-bachelors-buttons-1315694"
"1665403077-86","https://www.thespruce.com/plants-a-to-z-5116344","Bahia Grass Paspalum notatum","https://www.thespruce.com/growing-bahia-grass-5093956"
"1665403077-87","https://www.thespruce.com/plants-a-to-z-5116344","Bald Cypress Taxodium distichum","https://www.thespruce.com/bald-cypress-care-and-growing-guide-5115478"
"1665403077-88","https://www.thespruce.com/plants-a-to-z-5116344","Ball Cactus Parodia magnifica","https://www.thespruce.com/grow-parodia-cacti-indoors-1902591"
"1665403077-89","https://www.thespruce.com/plants-a-to-z-5116344","Balloon Flower Platycodon grandiflorus","https://www.thespruce.com/how-to-grow-balloon-flowers-4125528"
"1665403077-90","https://www.thespruce.com/plants-a-to-z-5116344","Balm of Gilead Populus x jackii","https://www.thespruce.com/balm-of-gilead-growing-guide-5199394"
"1665403077-91","https://www.thespruce.com/plants-a-to-z-5116344","Balsam Fir Abies balsamea","https://www.thespruce.com/balsam-fir-care-guide-5199198"
"1665403077-92","https://www.thespruce.com/plants-a-to-z-5116344","Bamboo Phyllostachys aurea","https://www.thespruce.com/grow-bamboo-inside-1902611"
"1665403077-93","https://www.thespruce.com/plants-a-to-z-5116344","Bamboo Palm Chamaedorea seifrizii","https://www.thespruce.com/bamboo-palms-profile-5120252"
"1665403077-94","https://www.thespruce.com/plants-a-to-z-5116344","Banana Musa","https://www.thespruce.com/banana-tree-growing-profile-3269353"
"1665403077-95","https://www.thespruce.com/plants-a-to-z-5116344","Banana Yucca Yucca baccata","https://www.thespruce.com/growing-yucca-baccata-5079092"
"1665403077-96","https://www.thespruce.com/plants-a-to-z-5116344","Barrenwort Epimedium","https://www.thespruce.com/epimedium-growing-guide-5211581"
"1665403077-97","https://www.thespruce.com/plants-a-to-z-5116344","Bartlett Pear Pyrus communis","https://www.thespruce.com/bartlett-pear-tree-growing-guide-5211022"
"1665403077-98","https://www.thespruce.com/plants-a-to-z-5116344","Baseball Plant Euphorbia obesa","https://www.thespruce.com/baseball-plant-profile-4780511"
"1665403077-99","https://www.thespruce.com/plants-a-to-z-5116344","Basket Flower Centaurea americana","https://www.thespruce.com/basket-flower-growing-guide-5080959"
"1665403077-100","https://www.thespruce.com/plants-a-to-z-5116344","Basswood Tilia","https://www.thespruce.com/basswood-tree-growing-guide-5196352"
"1665403077-101","https://www.thespruce.com/plants-a-to-z-5116344","Bat Flower Tacca chantrieri","https://www.thespruce.com/bat-flower-plant-profile-4842137"
"1665403077-102","https://www.thespruce.com/plants-a-to-z-5116344","Batik Iris Iris germanica'batik'","https://www.thespruce.com/batik-german-iris-plant-care-5081369"
"1665403077-103","https://www.thespruce.com/plants-a-to-z-5116344","Beaked Hazelnut Corylus cornuta","https://www.thespruce.com/how-to-grow-and-care-for-beaked-hazelnut-5076082"
"1665403077-104","https://www.thespruce.com/plants-a-to-z-5116344","Bean Herb Satureja hortensis","https://www.thespruce.com/summary-savory-plant-profile-4869803"
"1665403077-105","https://www.thespruce.com/plants-a-to-z-5116344","Bear's Breeches Acanthus mollis","https://www.thespruce.com/how-to-grow-bears-breeches-4125806"
"1665403077-106","https://www.thespruce.com/plants-a-to-z-5116344","Bearded Iris Iris germanica","https://www.thespruce.com/iris-plant-profile-4589585"
"1665403077-107","https://www.thespruce.com/plants-a-to-z-5116344","Beardtongue Penstemon","https://www.thespruce.com/penstemon-care-1316041"
"1665403077-108","https://www.thespruce.com/plants-a-to-z-5116344","Beautyberry Callicarpa americana","https://www.thespruce.com/beautyberry-shrubs-purple-berries-2132437"
"1665403077-109","https://www.thespruce.com/plants-a-to-z-5116344","Becky Shasta Daisy Leucanthemum x superbum 'becky'","https://www.thespruce.com/becky-shasta-daisy-flowers-2132612"
"1665403077-110","https://www.thespruce.com/plants-a-to-z-5116344","Bee Balm Monarda","https://www.thespruce.com/bee-balm-growing-guide-5204121"
"1665403077-111","https://www.thespruce.com/plants-a-to-z-5116344","Beefsteak Tomato Solanum lycopersicum 'Beefsteak'","https://www.thespruce.com/beefsteak-tomatoes-care-5189062"
"1665403077-112","https://www.thespruce.com/plants-a-to-z-5116344","Beet Beta vulgaris","https://www.thespruce.com/how-to-grow-beets-in-the-home-garden-1403456"
"1665403077-114","https://www.thespruce.com/plants-a-to-z-5116344","Bells Of Ireland Moluccella laevis","https://www.thespruce.com/bells-of-ireland-flower-1315696"
"1665403077-115","https://www.thespruce.com/plants-a-to-z-5116344","Bergamot Monarda didyma","https://www.thespruce.com/red-bee-balm-plants-2132327"
"1665403077-116","https://www.thespruce.com/plants-a-to-z-5116344","Bergenia Bergenia cordifolia","https://www.thespruce.com/how-to-grow-and-care-for-bergenia-4688589"
"1665403077-117","https://www.thespruce.com/plants-a-to-z-5116344","Better Boy Tomato Solanum lycopersicum ‘Better Boy’","https://www.thespruce.com/better-boy-tomatoes-profile-5186926"
"1665403077-118","https://www.thespruce.com/plants-a-to-z-5116344","Bidens Bidens","https://www.thespruce.com/bidens-plant-profile-5069525"
"1665403077-119","https://www.thespruce.com/plants-a-to-z-5116344","Big Bluestem Andropogon Gerardii","https://www.thespruce.com/big-bluestem-plant-profile-4845878"
"1665403077-120","https://www.thespruce.com/plants-a-to-z-5116344","Bigleaf Magnolia Magnolia macrophylla","https://www.thespruce.com/bigleaf-magnolia-growing-profile-3269302"
"1665403077-121","https://www.thespruce.com/plants-a-to-z-5116344","Bigleaf Periwinkle Vinca Major","https://www.thespruce.com/bigleaf-periwinkle-vinca-major-profile-5181703"
"1665403077-122","https://www.thespruce.com/plants-a-to-z-5116344","Bird Of Paradise Strelitzia reginae","https://www.thespruce.com/how-to-grow-strelitzia-1902742"
"1665403077-123","https://www.thespruce.com/plants-a-to-z-5116344","Bird's Nest Fern Asplenium nidus","https://www.thespruce.com/grow-asplenium-nidus-ferns-1902716"
"1665403077-124","https://www.thespruce.com/plants-a-to-z-5116344","Black Ash Fraxinus nigra","https://www.thespruce.com/black-ash-tree-plant-profile-5074636"
"1665403077-125","https://www.thespruce.com/plants-a-to-z-5116344","Black Bamboo Phyllostachys nigra","https://www.thespruce.com/black-bamboo-plant-profile-5180158"
"1665403077-126","https://www.thespruce.com/plants-a-to-z-5116344","Black Birch Betula lenta","https://www.thespruce.com/sweet-birch-tree-plant-profile-4843256"
"1665403077-127","https://www.thespruce.com/plants-a-to-z-5116344","Black Diamond Watermelon Citrullus lanatus ‘Black Diamond’","https://www.thespruce.com/black-diamond-watermelon-guide-5195320"
"1665403077-128","https://www.thespruce.com/plants-a-to-z-5116344","Black Elderberry Sambucus canadensis","https://www.thespruce.com/american-elderberry-sambucus-canadensis-3269208"
"1665403077-129","https://www.thespruce.com/plants-a-to-z-5116344","Black Foot Melampodium","https://www.thespruce.com/melampodium-plant-profile-5070440"
"1665403077-130","https://www.thespruce.com/plants-a-to-z-5116344","Black Hills Spruce Picea glauca ‘Densata’","https://www.thespruce.com/black-hills-spruce-growing-guide-5196340"
"1665403077-131","https://www.thespruce.com/plants-a-to-z-5116344","Black Huckleberry Gaylussacia baccata","https://www.thespruce.com/how-to-grow-and-care-for-black-huckleberry-5076023"
"1665403077-132","https://www.thespruce.com/plants-a-to-z-5116344","Black Lace Elderberry Sambucus nigra 'eva'","https://www.thespruce.com/growing-black-lace-elderberry-5101467"
"1665403077-133","https://www.thespruce.com/plants-a-to-z-5116344","Black Mustard Brassica nigra","https://www.thespruce.com/black-mustard-brassica-nigra-guide-5194426"
"1665403077-134","https://www.thespruce.com/plants-a-to-z-5116344","Black Sapote Diospyros nigra","https://www.thespruce.com/grow-black-sapote-indoors-1902997"
"1665403077-135","https://www.thespruce.com/plants-a-to-z-5116344","Black Willow Salix nigra","https://www.thespruce.com/how-to-grow-and-care-for-black-willow-5210500"
"1665403077-136","https://www.thespruce.com/plants-a-to-z-5116344","Black-Eyed Susan Vine Thunbergia alata","https://www.thespruce.com/growing-black-eyed-susan-vine-containers-848190"
"1665403077-137","https://www.thespruce.com/plants-a-to-z-5116344","Blackberry Rubus fruticosus","https://www.thespruce.com/how-to-grow-and-care-for-blackberries-4589374"
"1665403077-138","https://www.thespruce.com/plants-a-to-z-5116344","Blackberry Lily Iris domestica","https://www.thespruce.com/blackberry-lily-plant-profile-4768397"
"1665403077-139","https://www.thespruce.com/plants-a-to-z-5116344","Blackhaw Viburnum Viburnum prunifolium","https://www.thespruce.com/black-haw-viburnum-growing-profile-3269201"
"1665403077-140","https://www.thespruce.com/plants-a-to-z-5116344","Blackjack Oak Quercus marilandica","https://www.thespruce.com/blackjack-oak-care-guide-5499002"
"1665403077-141","https://www.thespruce.com/plants-a-to-z-5116344","Blanket Flower Gaillardia x grandiflora","https://www.thespruce.com/blanket-flowers-1402030"
"1665403077-142","https://www.thespruce.com/plants-a-to-z-5116344","Bleeding Heart Lamprocapnos spectabilis","https://www.thespruce.com/growing-bleeding-heart-plants-1402834"
"1665403077-143","https://www.thespruce.com/plants-a-to-z-5116344","Blood Lily Scadoxus multiflorus","https://www.thespruce.com/blood-lily-profile-5186929"
"1665403077-144","https://www.thespruce.com/plants-a-to-z-5116344","Bloodgood' Japanese Maple Acer palmatum 'bloodgood'","https://www.thespruce.com/bloodgood-japanese-maple-trees-2132683"
"1665403077-145","https://www.thespruce.com/plants-a-to-z-5116344","Bloomerang Lilac Syringa x 'Penda'","https://www.thespruce.com/how-to-grow-and-care-for-bloomerang-lilac-5078948"
"1665403077-146","https://www.thespruce.com/plants-a-to-z-5116344","Bloomstruck Hydrangea Hydrangea macrophylla 'P11HM-11'","https://www.thespruce.com/bloomstruck-hydrangea-plant-profile-4843821"
"1665403077-147","https://www.thespruce.com/plants-a-to-z-5116344","Blow Wives Achyrachaena mollis","https://www.thespruce.com/growing-blow-wives-plants-5085095"
"1665403077-148","https://www.thespruce.com/plants-a-to-z-5116344","Blue Ash Fraxinus quadrangulata","https://www.thespruce.com/blue-ash-plant-profile-5074186"
"1665403077-149","https://www.thespruce.com/plants-a-to-z-5116344","Blue Atlas Cedar Cedrus atlantica","https://www.thespruce.com/weeping-blue-atlas-cedar-growing-profile-3269375"
"1665403077-150","https://www.thespruce.com/plants-a-to-z-5116344","Blue Beard Caryopteris x clandonensi","https://www.thespruce.com/what-is-blue-mist-shrub-1402271"
"1665403077-151","https://www.thespruce.com/plants-a-to-z-5116344","Blue Chip Butterfly Bush Buddleia davidii","https://www.thespruce.com/blue-chip-butterfly-bush-2132706"
"1665403077-152","https://www.thespruce.com/plants-a-to-z-5116344","Blue Daze Evolvulus","https://www.thespruce.com/evolvulus-plant-profile-5072786"
"1665403077-153","https://www.thespruce.com/plants-a-to-z-5116344","Blue Eyed Grass Sisyrinchium angustifolium","https://www.thespruce.com/blue-eyed-grass-plant-profile-5070471"
"1665403077-154","https://www.thespruce.com/plants-a-to-z-5116344","Blue Fescue Festuca glauca","https://www.thespruce.com/blue-fescue-grass-2132481"
"1665403077-155","https://www.thespruce.com/plants-a-to-z-5116344","Blue Flag Iris Iris versicolor","https://www.thespruce.com/northern-blue-flag-native-iris-4125732"
"1665403077-156","https://www.thespruce.com/plants-a-to-z-5116344","Blue Mistflower Conoclinium coelestinum","https://www.thespruce.com/blue-mistflowers-guide-5188907"
"1665403077-157","https://www.thespruce.com/plants-a-to-z-5116344","Blue Oat Grass Helictotrichon sempervirens","https://www.thespruce.com/blue-oat-grass-profile-5072393"
"1665403077-158","https://www.thespruce.com/plants-a-to-z-5116344","Blue Princess Holly Ilex x meserveae'blue princess'","https://www.thespruce.com/blue-princess-holly-2132070"
"1665403077-159","https://www.thespruce.com/plants-a-to-z-5116344","Blue Rug Juniper Juniperus horizontalis 'wiltonii'","https://www.thespruce.com/blue-rug-juniper-plants-2132212"
"1665403077-160","https://www.thespruce.com/plants-a-to-z-5116344","Blue Salvia Salvia farinacea","https://www.thespruce.com/victoria-blue-salvia-2132145"
"1665403077-161","https://www.thespruce.com/plants-a-to-z-5116344","Blue Spruce Picea pungens","https://www.thespruce.com/colorado-blue-spruce-trees-2132082"
"1665403077-162","https://www.thespruce.com/plants-a-to-z-5116344","Blue Star Creeper Isotoma fluviatilis","https://www.thespruce.com/blue-star-creeper-plant-profile-4846530"
"1665403077-163","https://www.thespruce.com/plants-a-to-z-5116344","Blue Star Juniper Juniperus squamata'blue star'","https://www.thespruce.com/blue-star-juniper-2132071"
"1665403077-164","https://www.thespruce.com/plants-a-to-z-5116344","Blue Torch Cactus Pilosocereus","https://www.thespruce.com/grow-pilosocereus-cacti-1902966"
"1665403077-165","https://www.thespruce.com/plants-a-to-z-5116344","Blueberries Vaccinium","https://www.thespruce.com/growing-blueberries-1401960"
"1665403077-166","https://www.thespruce.com/plants-a-to-z-5116344","Bobo Hydrangea Hydrangea paniculata 'Ilvobo' BOBO","https://www.thespruce.com/bobo-hydrangeas-dwarf-type-offers-compact-alternative-4125546"
"1665403077-167","https://www.thespruce.com/plants-a-to-z-5116344","Bog Onion Arisaema triphyllum","https://www.thespruce.com/jack-in-the-pulpit-plants-2132952"
"1665403077-168","https://www.thespruce.com/plants-a-to-z-5116344","Bok Choy Brassica rapa","https://www.thespruce.com/how-to-grow-bok-choy-4125560"
"1665403077-169","https://www.thespruce.com/plants-a-to-z-5116344","Boneset Eupatorium perfoliatum","https://www.thespruce.com/how-to-grow-and-care-for-boneset-5094162"
"1665403077-170","https://www.thespruce.com/plants-a-to-z-5116344","Bonsai Pine Pinus bonsai","https://www.thespruce.com/growing-pine-bonsai-5085311"
"1665403077-171","https://www.thespruce.com/plants-a-to-z-5116344","Borage Borago officinalis","https://www.thespruce.com/how-to-grow-borage-1402625"
"1665403077-172","https://www.thespruce.com/plants-a-to-z-5116344","Boston Fern Nephrolepsis exalta 'bostoniensis'","https://www.thespruce.com/grow-nephrolepis-boston-ferns-1902723"
"1665403077-173","https://www.thespruce.com/plants-a-to-z-5116344","Boston Ivy Parthenocissus tricuspidata","https://www.thespruce.com/growing-and-planting-boston-ivy-2132892"
"1665403077-174","https://www.thespruce.com/plants-a-to-z-5116344","Bottlebrush Callistemon","https://www.thespruce.com/weeping-bottlebrush-red-cascade-care-5198056"
"1665403077-175","https://www.thespruce.com/plants-a-to-z-5116344","Bougainvillea Bougainvillea","https://www.thespruce.com/grow-bougainvillea-inside-1902743"
