commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
"Blue Spur Flower, Candlestick Plant, Speckled Spur Flower, Zulu Wonder","Plectranthus barbatus, Coleus barbatus",,Perennial,,Sun to partial shade,"Rich, well-draining",Neutral to acidic,9 to 11,Africa,https://www.thespruce.com/thmb/mEZClTm6vxxxFVwCJKLbSf85OQE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-blue-spur-flowers-5085268-hero-0318364b81024e77b9bf0bec41b34adb.jpg,Candlestick Plant Plectranthus barbatus.json,5 feet tall,Late summer to early fall,Lavender,
Kumquat,Citrus japonica,Rutaceae,"Fruit, tree, perennial","7–10 ft. tall, 5–8 ft. wide",Full sun,"Loamy, moist, well-drained","Acidic, neutral (6.0 to 7.0)",9–11 (USDA),Asia,https://www.thespruce.com/thmb/1DvzZM1BllgQKmWSevUbu3Dun0U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-lace-cap-hydrangea-5078423_01a-93f1346a68e14ce9baeee6fd4df7f64a.JPG,Kumquat Citrus japonica.json,"7–10 ft. tall, 5–8 ft. wide","Spring, summer",,
"Virginia creeper, Victoria creeper, five-leaved ivy, five-finger, woodbine",Parthenocissus quinquefolia,Vitaceae (grape family),"Perennial, Vine",,"Full, Partial, Shade","Sandy, Clay, Loamy",Neutral to acidic (5.1 to 7.3),"3, 4, 5, 6, 7, 8, 9, 10 (USDA)",Eastern and Central United States,https://www.thespruce.com/thmb/qfuhdN5HjUzg0nIH3p2NGJE_sfg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-viscaria-plants-5084924-hero-339ed40a637b4755a9eb3ee7ab2a30c4.JPG,Virginia Creeper Parthenocissus quinquefolia.json,30 to 50 feet,Summer,Greenish white,Toxic to humans
Mahonia Spp.,Mahonia Spp.,Berberidaceae,Shrub,,Partial shade,"Moist, Well-dained",Various,Varies,"North & Central America, Asia",https://www.thespruce.com/thmb/u-PKf6-F1j0ItVMH_ipToKrmS58=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-adiantum-ferns-1902722-10-4e79074809694fa8bea32a562b1eb28a.jpg,Mahonia Mahonia.json,3 to 10 ft.,"Winter, Spring","Yellow, Red",
String of bananas,Senecio radicans syn. Curio radicans,,Succulent,,Full sun,"Well-draining, succulent soil",6.6-7.5,,South Africa,https://www.thespruce.com/thmb/b0aZP-HvIgCHefOnNMJbbFojpGc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-string-of-heart-plants-5086828-5-3d7f39180e6b41c59a44874a60301ae5.jpg,String Of Bananas Senecio radicans.json,36 inches long,Spring,"White, light pink",Toxic to humans and pets
"Daylily, day lily",Hemerocallis spp.,Liliaceae,Herbaceous perennial,,Full sun (tolerates part shade/light woodland),Deep fertile medium loamy soil (tolerates light sandy or heavy clay),Acidic,"3-10, USA",Asia and Central Europe,https://www.thespruce.com/thmb/aqcoJnAsOpbvmrCxmycvzO8f--Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-daylilies-5075400-hero-dc8f260afc6844dcb9067abebeb883ae.jpg,Daylily Hemerocallis.json,"6 in. to 5 ft. tall, 2-4 ft. wide",Spring to late summer,"Red, orange, yellow, purple, pink",Toxic to cats
"Monterey pine, insignis pine, radiata pine",Pinus radiata,Pinaceae,Evergreen tree,,"Full, partial","Sandy, fast-draining",Acidic to neutral (5.5–6.5),7–10 (USDA),Western North America (CA to Mexico),https://www.thespruce.com/thmb/OOI_wpOc4OEprfdiOLp-4C8_DuY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-moon-flower-in-containers-4125231-hero-cf661ad044534cacbaa508e8dcaf7b46.jpg,Monterey Pine Pinus radiata.json,"45–190 ft. tall, 15–30 ft. wide",Winter,"Yellow, brown, cream (non-showy)",
Becky shasta daisy,Leucanthemum x superbum 'Becky',Asteraceae,"Herbaceous, perennial",,Full,Well-drained,Neutral,5–9 (USDA),North America,https://www.thespruce.com/thmb/kcuNyjBDWn1YvresmQEMAn0hM-g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/beautyberry-shrubs-purple-berries-2132437-01-bebbf5cd893a4cb2a01fdbce2901fe3a.jpg,Becky Shasta Daisy Leucanthemum x superbum 'becky'.json,"3–4 ft. tall, 2–3 ft. wide",Summer,White,Toxic to people and animals
"Coneflower, echinacea",Echinacea 'Firebird',,"Herbaceous, perennial",,"Full, partial","Well-drained, sandy, clay, loamy",6.5 to 7.0,4 to 8 (USDA),North America,https://www.thespruce.com/thmb/FKLACMhYNUl7rlBO4q6pJho4N-o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/echinacea-firebird-an-orange-coneflower-2131855-hero-cd64edd923ce4e2b946ca8ee66d83c5f.jpg,Coneflower Echinacea 'firebird'.json,36 inches in height with a 36-inch spread,June through October,Reddish-orange,
"Common elderberry, black elderberry, American elderberry",Sambucus canadensis,,Deciduous shrub,,"Full sun, partial shade",Moist but well-drained,Neutral but acidic,3–9 (USDA),North America,https://www.thespruce.com/thmb/r3SX0gP2AvXGbawSQ2DWHV9XQpY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-elderberry-sambucus-nigra-3269208-hero-583945660ede4744ba2395805536f4f1.jpg,American Elderberry Sambucus canadensis.json,"5–12 ft. tall, 3–6 ft. wide",Summer,White,Toxic to people and pets; fruit is non-toxic to people once cooked
"Browallia, Amethyst flower, Bush violet, Sapphire flower",Browallia speciosa,Solanaceae,Perennial,,"Full, partial","Sandy, clay, loamy","Neutral to acidic, acidic, alkaline","10, 11",South America,https://www.thespruce.com/thmb/3NZg_eyCtvZWOUrXs2felESnaVs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/browallia-plant-profile-4800592-hero-b7265a3b196c48c4924aa591636addb3.jpg,Browallia Browallia speciosa.json,"1-2 ft. tall, 1-2 ft. wide","Summer, fall","Blue, purple, white",Toxic to pets
Asparagus fern,"Asparagus aethiopicus, A. densiflorus",Asparagaceae,Herbaceous perennial,,"Partial (outdoor); bright, indirect light (indoors)",Well-drained potting mix,Slightly acidic (6.5-6.8),9-11 (USDA),South Africa,https://www.thespruce.com/thmb/eD2v54qquYHc0rKC7k-qHSE-aMo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-plant-and-grow-asparagus-1402814-01-8a911ee605434ccfaebdffa4d435cb32.jpg,Asparagus Fern Asparagus aethiopicus.json,"Up to 3 ft. tall, 4 ft. wide",Spring to fall,White; flowers are insignificant,Mildly toxic humans; moderately toxic to dogs and cats
Japanese zelkova,Zelkova serrata,,Tree,,Full Sun,"Average, Good Drainage",Prefers Neutral Soil,USDA 5-8,East Asia,https://www.thespruce.com/thmb/mgG1cKse49EtuhkaT-L5yuKbdBo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-jelly-bean-succulents-5115462-hero-2f1cb2b6e2104776830b3aa5e141f0d4.jpg,Japanese Zelkova Zelkova serrata.json,50-80 ft. tall.,Spring,Insignificant,
Pumpkin ash,Fraxinus profunda/tomentosa,Oleaceae,Tree,,Full sun,Wet,Neutral,5-9 (USDA),Southeastern United States,https://www.thespruce.com/thmb/MGyxX-JaLpklRWmYspHlGyV5x4Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/purple-fountain-grass-2132874-hero-d5fb5c7f97094c18ac92b5a0d48e70fc.jpg,Pumpkin Ash Fraxinus profunda.json,60 to 80 feet,Spring,Green,
"Cucamelon, mouse melon, Mexican sour gherkin, sandita",Melothria scabra,Cucurbitaceae,"Annual, fruit","1 ft. tall, up to 10 ft. wide",Full sun,Humusy-rich and well-drained,Acidic (6.1 to 6.8),2–11 (USDA),Central America,https://www.thespruce.com/thmb/OI9qkQ7RAY19kP-32VMAkIKq6sQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1073914856-1d7b9410ce1e483ea4a569bfaf0c723c.jpg,Cucamelon Melothia scabra.json,"1 ft. tall, up to 10 ft. wide","Spring, summer",,
"Carpet grass, blanket grass","Axonopus fissifolius, Axonopus compressus",Poaceae,Creeping perennial grass,,Partial,"Moist, poor-to-average soil",Acidic to neutral (5.0 to 7.0),7–10 (USDA),Americas (tropical and subtropical regions),https://www.thespruce.com/thmb/YfAUws0uhUrldfWMUxO2pv1r-lQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/800px-Starr_090121-0999_Axonopus_fissifolius-c70383990f6e452489b1fe6b0c9a975e.jpg,Carpet Grass Axonopus fissifolius.json,1–12 in.,June to September,Yellowish-white (not showy),
"Harebells, Bluebells, Bluebell of Scotland, Witches’ Thimble",Campanula rotundifolia,,Perennial,,Full sun to partial shade,"Well-draining, sandy",Neutral,USDA 3 to 6,Eurasia and North America,https://www.thespruce.com/thmb/LwW21HgbD7jIMc5h_4SnC1Iu1-s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/heartleaf-philodendron-guide-5181702-hero-d7f06d3be69a42e2b71441e6d0d0ed86.jpg,Harebells Campanula rotundifolia.json,12 to 18 inches tall; 12 inches wide,Summer to fall,Blue,
"Mexican Heather, Elfin Herb, False Heather, Hawaiian Heather",Cuphea hyssopifolia,Lythraceae,Evergreen shrub,,Full sun to light/part shade,"Loam or Clay (Average, medium, well-drained)",Slightly acidic (5.5 to 7),"9b-11, USDA","Central America (Mexico, Guatemala, Honduras)",https://www.thespruce.com/thmb/iTPGAI80hOpVElETmyawrRrGxik=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mexican-orange-growing-profile-3955244-hero-b6f7c751661c4ba6a71643c484b93e21.jpg,Mexican Heather Cuphea hyssopifolia.json,"1 to 2 ft. tall, 1 to 4 ft. wide",Summer to frost,"Purple, Pink, White",Toxic
"Dwarf morning glory, blue daze, Brazilian dwarf morning glory, evolvulus",Evolvulus glomeratus,Convolvulaceae,"Perennial, annual",,Full,"Moist, well-drained","Acidic, neutral",8-11 (USDA),South America,https://www.thespruce.com/thmb/gWi6d8Xq-WXRc125x5ppUHxFx9Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/evolvulus-plant-profile-5072786-hero-638b95375b8e4d0bbde2228b4327c30d.jpg,Blue Daze Evolvulus.json,"9–24 in. tall, 2–3 ft. wide","Summer, fall",Blue,
"Ribbon grass, reed canary grass",Phalaris arundinacea var. 'Picta'.,Poaceae,Perennial ornamental grass,,"Full, partial","Loamy, clay, sandy, well-drained, moist","Acidic, neutral, alkaline",4-9 (USDA),"Europe, North America",https://www.thespruce.com/thmb/sx3RrVN6hLSD26np-1teRBsMX3w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/rockrose-plant-profile-4842337-hero-d8c99061eb0449c69a8ca85c7b799113.jpg,Ribbon Grass Phalaris arundinacea.json,1-3 ft. tall,Summer,"Green, but insignificant",
"Jade plant, rattlesnake tail, living coral, string of buttons",Crassula spp.,Crassulaceae,Perennial,,"Full, partial",Moist but well-drained,"Neutral, acidic",10–12 (USDA),South Africa,https://www.thespruce.com/thmb/1WzRHlPksBulxXjtMVYmHDhy-cA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/jade-pothos-growing-guide-5235402-hero-8375b6cb7df44366ab7d6e8591ee6b53.jpg,Jade Plant Crassula.json,Varies by species,"Spring, summer",Varies by species,Toxic to pets
"'Black Knight' delphinium, candle larkspur",Delphinium elatum 'Black Knight',,Herbaceous perennial,,Full,"Moist, well-drained, fertile",Neutral to alkaline (7.0 to 8.5),3–7 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/K8-V5QgbfN26H3Jyvun43dletfo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-lavender-1402779-hero-d308fde4141e431eabe5ef2e5bf3ba11.jpg,Larkspur Delphinium.json,"4–6 ft. tall, 1–2 ft. wide","Summer, fall",Dark purple,"Toxic to humans, animals"
Yucca plant,Yucca spp.,Agavaceae,"Herbaceous, perennial",,Partial,"Sandy, well-draining","Neutral, acidic",4 -11 (USDA),"North America, Caribbean",https://www.thespruce.com/thmb/EWD4eYEyqDwkPVdwO0CGPyh3Qhc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-annual-geranium-plants-1402908-6-2-974a48e971004fbdb9212f89db8cab7a.jpg,Yucca Plant Yucca.json,"1-30 ft. tall, 3-15 ft. wide","Summer, fall","White, pink",Toxic to pets
Southern Live Oak,Quercus virginiana,Fagaceae,Broadleaf evergreen,,"Part shade, Full sun","Dry to moist, Well draining",Slightly acidic to neutral,"8-10, USDA",Southeastern United States,https://www.thespruce.com/thmb/JnqhkKbnYgcyslf6Bt1d2lWQBbs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-living-stones-plants-1902983-10-efceb14582e945849d809b32c77a5a4d.jpg,Live Oak Quercus virginiana.json,"40-80 ft. tall, 60-100 ft. wide","Early spring, May",Yellowish-Green,
"Catawba rhododendron, catawba rosebay",Rhododendron catawbiense,Ericaceae,Broadleaf evergreen shrub,,Partial shade to full shade,"Fertile, well-drained",Acidic,4-8 (USDA),Southeastern United States,https://www.thespruce.com/thmb/NRJy7SoD9EXD08MHwbQdxCK9R2E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/catawba-rhododendron-plant-4844412_03-92010106946b4926b1c14929a232cf90.jpg,Catawba Rhododendron Rhododendron catawbiense.json,"6-8 ft. tall, 4-6 ft. wide","Spring, summer",Lavender-pink,"Toxic to people, pets"
"Mandevilla, rocktrumpet",Mandevilla spp.,Apocynaceae,Vine,,"Full, partial",Moist but well-drained,"Neutral, acidic",10–11 (USDA),"North America, Central America, South America",https://www.thespruce.com/thmb/twPZJSukYXph_WaicXmr0mMUOIw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-christmas-palm-trees-5094174-01-955e5093fe1d48bfbfb8b161c5b411ec.jpg,Mandevilla Mandevilla.json,"3–10 ft. tall, 3–4 ft. wide","Summer, fall","Pink, red, white",
Freesia,Freesia spp.,,Perennial bulb or corm,,Full sun to partial sun,"Rich, moist, well-draining",Neutral,10-Sep,Africa,https://www.thespruce.com/thmb/f5GtsA-RbKd3VPe83_tQnSdjABM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/corydalis-plant-profile-4843268_01-32adf6c5e6ce4a658dd64dcc9712d81b.jpg,Freesia Freesia.json,1-2 ft. tall,"Spring, summer","Pink, red, white, yellow, orange, blue, purple",
Cherry tomato,Solanum lycopersicum var. cerasiforme,Solanaceae,"Annual, fruit","4–8 ft. tall, 1–3 ft. wide",Full sun,"Loamy, well-drained",Acidic (6.0 to 6.8),2–11 (USDA),South America,https://www.thespruce.com/thmb/QRyAecFEfhwre2r7AJLCq3ctgS4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-cherry-tomatoes-5078331-hero-050e75c5528541b6a1cb7aa5ee7b4f92.jpg,Cherry Tomato Solanum lycopersicum.json,"4–8 ft. tall, 1–3 ft. wide",Summer,,"Toxic to people, Toxic to pets"
"Scallion, green onion, spring onion, bunching onion",Allium fistulosum,Amaryllidaceae,"Perennial, bulb","1–3 feet tall, 1–2 feet wide",Full sun,"Sandy, loamy, well-drained","Acidic, neutral",6–9 (USDA),Asia,https://www.thespruce.com/thmb/OLcN1qYZL1fmrntxTd237rYEPoY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-scented-geraniums-1402844-hero-2e9d7af96191414aa77440eec74864cf.JPG,Scallion Allium wakegi.json,"1–3 feet tall, 1–2 feet wide",Spring,,Toxic to pets
Arabian jasmine,Jasminum sambac,,Evergreen,,"Full, partial","Loamy, moist but well-drained","Acidic, neutral","9-11, USA",Asia,https://www.thespruce.com/thmb/0JcClcHUwpNj-nZcQOVrbff6S8s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/arabian-jasmine-guide-5190635-hero-5442f623297e44968f580f1af52bd075.jpg,Arabian Jasmine Jasminum sambac.json,"6-10 ft. tall, 6-10 ft. wide",Summer,"Pink, white",
"Youpon holly, yaupon, cassina",Ilex vomitoria,Aquifoliaceae,"Shrub, tree",,"Full, partial",Sandy,"Acidic, neutral",7-9 (USDA),North America,https://www.thespruce.com/thmb/nU7J5puzRywkdOtnFQpL8Aoc6oM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-yellow-corydalis-plants-5070071-hero-64b16fd088534627bbb991486a9555f3.jpg,Yaupon Ilex vomitoria.json,"10-30 ft. tall, 8-12 ft. width",Spring,"Greenish, red","Toxic to people , toxic to pets"
Columbine,Aquilegia spp.,Ranunculaceae,Herbaceous perennial,,Full or partial,"Sandy, loamy, moist but well-drained",Neutral to slightly acidic,Zones 3 to 8,"North America, Europe, Asia",https://www.thespruce.com/thmb/qan56PSohtyRVl3I5fmJ5oeJ-4s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/botany-of-columbine-flowers-2132551-09-8c576b0edebb48f3a7d590ee5c5474c1.jpg,Columbine Aquilegia.json,"1-3 ft. tall, 1-2 ft. wide",Spring to summer,"Red, orange, yellow, blue, purple, violet, pink, white",Toxic to humans
"Century plant, American aloe, maguey",Agave americana,Asparagaceae,Succulent,,Full,"Sandy, well-drained","Acidic, neutral, alkaline","8-11, USDA",Texas and Mexico,https://www.thespruce.com/thmb/Vzc3ZqjWTYQj0FREvxncNZgkgy0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/century-plant-growing-guide-5204162-hero-12a26ff9f5324e92a5cd06e35d3a0209.jpg,Century Plant Agave americana.json,"Three to six feet tall, six to ten feet wide",Summer (rarely blooms),Yellow,"Toxic to people, toxic to pets"
"African spear plant, cylindrical snake plant, spear sansevieria",Sansevieria cylindrica,,Succulent,,"Full, partial","Sandy, well-drained",Neutral,10–11 (USDA),Africa,https://www.thespruce.com/thmb/wwpdlokKA4nZvFgIjJJ5QTJEi8s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-sansevieria-cylindrica-1902732-HERO-d9060791adcf4da49270b3413c527be6.jpg,African Spear Plant Sansevieria cylindrica.json,"4–6 ft. tall, 1–2 ft. wide",Sporadic,White,Toxic to pets and humans
"Hardy kiwi, hardy kiwi vine","Actinidia arguta, Actinidia kolomikta",Actinidiaceae,"Perennial, fruit",,"Full, partial","Loamy, well-drained",Acidic,3-9 (USDA),Asia,https://www.thespruce.com/thmb/2RP8ospO6QEZ_4iwjZ-IbwNB5XQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/harebells-plant-profile-5119149-hero-fcd065690ef74da1a35567ad7f15b5b4.jpg,Hardy Kiwi Actinidia arguta.json,10-30 ft. long,Spring,"Green, white",
"Sweet potato vine, ornamental sweet potato vine",Ipomoea batatas,Convolvulaceae,Herbaceous perennial,,Full sun,"Moist, well-drained",Neutral to acidic,9–11 (USDA),Tropical regions of the Americas,https://www.thespruce.com/thmb/Z_L37W0duz08HUy4utTW-E_tC5Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/sweetbay-magnolia-growing-profile-3269290-hero-7c2b53fbf3914e5cad2dd44ac353a84c.jpg,Sweet Potato Vine Ipomoea Batatas.json,"8–10 ft. long, 5–12 in. wide","Spring, summer",Rarely flower but may produce pink to purple-lavender,
"Silver Birch, White Birch",Betula pendula,,Tree,,Full Sun- Part Shade,"Medium to wet, well-drained sandy",Prefers soil below 6.5,USDA 2-6,Europe and Asia,https://www.thespruce.com/thmb/35easC7TwNJnu335eLp5fnALaG4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/OrlayagrandifloraFlckr-03e4a7a174fc416882265d8394d1c1af.jpg,White Birch Betula pendula.json,30-40ft. tall 15-30ft. wide,March to April,Yellowish brown or Green,
"Pink jasmine, white jasmine, Chinese jasmine, winter-blooming jasmine",Jasminum polyanthum,Oleaceae,"Vine, perennial",,Full to partial sun,Well-drained,"Acidic, neutral",8-11 (USDA),"Western China, Myanmar",https://www.thespruce.com/thmb/_INWqnzq_SkCWxQWYXh-oQuIVjk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1096715488-bce72a4fc8a84d089bffcfe5c1daca81.jpg,Pink Jasmine Jasminum polyanthum.json,20 ft. tall,Winter,"White, pink",
"Rock cotoneaster, rockspray cotoneaster, wall cotoneaster",Cotoneaster horizontalis,,Deciduous shrub,,Full sun,Well-drained; young plants need evenly moist soil,6.75 to 7.5 (neutral to slightly alkaline),5 to 7 (USDA),Western China,https://www.thespruce.com/thmb/8SONi4JEjIVs_eRRXjdzmegfv8E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/formula-for-growing-rose-bushes-2132676-hero-3a3a78369b844bad977f458e14ed3555.jpg,Rockspray Cotoneaster Cotoneaster horizontalis.json,2 to3 feet tall; 6- to 8-foot spread feet,Late spring,Light pink,
